id_no,Gender,Age_years,Age_Months,age,PseudoWordRF_totalScore_all,WordRF_totalScore_all,WordRAcc_totalScore,PD_TotalScore,RANDigitsAccTotal,RANDigitsAccMean,RANDigitsDurTotal,RANLettersAccTotal,RANLettersAccMean,RANLettersDurTotal
3,male,11,136,11.33333333,65,106,56,38,80,1,37,75,0.9375,37
4,female,10,124,10.33333333,37,89,43,30,80,1,46.6,79,0.9875,39.84
7,male,8,104,8.666666667,17,39,26,16,80,1,55,80,1,53
8,male,9,119,9.916666667,68,111,53,35,80,1,24.51,80,1,25.88
9,male,9,113,9.416666667,38,74,53,25,80,1,70,80,1,64
12,male,11,134,11.16666667,37,68,41,40,79,0.9875,42,77,0.9625,50
15,male,8,103,8.583333333,49,76,36,31,80,1,44,78,0.975,51
17,female,8,107,8.916666667,50,81,41,28,79,0.9875,42,80,1,44
22,female,11,133,11.08333333,71,87,54,24,80,1,32.34,79,0.9875,34.43
27,female,9,111,9.25,43,71,47,40,80,1,58,80,1,51
28,female,9,110,9.166666667,55,82,52,33,80,1,44,80,1,42
29,female,10,120,10,48,71,39,34,78,0.975,87,73,0.9125,59
30,female,9,116,9.666666667,16,31,34,26,80,1,63,70,0.875,62
31,male,8,103,8.583333333,10,58,23,10,80,1,45,79,0.9875,46
34,female,11,136,11.33333333,86,116,53,40,80,1,32,80,1,38
40,male,9,117,9.75,64,107,53,32,80,1,28,80,1,26
41,female,9,113,9.416666667,35,83,42,28,79,0.9875,40,77,0.9625,41
43,female,9,113,9.416666667,57,82,43,26,80,1,42,79,0.9875,41.18
45,male,9,109,9.083333333,53,84,52,36,61,0.7625,53,80,1,57
52,male,11,133,11.08333333,28,73,52,32,80,1,60,77,0.9625,45
54,female,10,130,10.83333333,21,58,36,11,76,0.95,78,80,1,55
55,female,9,113,9.416666667,23,62,30,25,80,1,66,73,0.9125,69
59,female,10,128,10.66666667,53,80,50,31,80,1,60,80,1,42.35
63,male,10,124,10.33333333,60,110,49,31,80,1,47,80,1,44
69,male,8,105,8.75,48,75,43,22,77,0.9625,41,78,0.975,39
70,female,10,129,10.75,59,115,60,37,77,0.9625,29,76,0.95,36
71,male,12,148,12.33333333,71,128,55,36,80,1,21,80,1,27
76,female,9,114,9.5,30,69,39,25,78,0.975,60.24,79,0.9875,48.74
77,male,9,114,9.5,69,102,48,33,80,1,33,80,1,34.51
79,male,10,131,10.91666667,62,110,57,38,80,1,30,79,0.9875,36
89,male,9,109,9.083333333,29,56,31,32,80,1,71,79,0.9875,87
94,female,11,141,11.75,62,133,44,33,79,0.9875,31,80,1,31
99,female,11,143,11.91666667,51,78,43,40,80,1,46,80,1,36
100,male,12,144,12,49,86,50,24,80,1,38,79,0.9875,40
102,female,11,134,11.16666667,59,107,53,39,80,1,37,80,1,39
103,female,9,108,9,66,110,47,37,80,1,39,80,1,43
105,female,10,124,10.33333333,67,107,50,36,80,1,34,80,1,31
107,male,11,137,11.41666667,74,111,57,28,78,0.975,29,80,1,25
108,female,11,135,11.25,46,77,53,34,80,1,63,80,1,53
