id_no,target_shape,expected,accuracy,response,Age_Months
152,Shape4B.jpg,fum,1,fum,110
152,Shape8B.jpg,dep,0,silence,110
152,Shape5B.jpg,gex,0,bix,110
152,Shape3B.jpg,beb,0,dod,110
152,Shape10B.jpg,dod,1,dod,110
152,Shape1B.jpg,bix,0,silence,110
152,Shape9B.jpg,sut,1,sut,110
152,Shape11B.jpg,pag,1,pag,110
152,Shape2B.jpg,fip,0,dep,110
152,Shape12B.jpg,pof,1,pof,110
152,Shape6B.jpg,gop,0,silence,110
152,Shape7B.jpg,saf,0,sag,110
186,Shape4B.jpg,fum,0,silence,123
186,Shape8B.jpg,dep,0,silence,123
186,Shape5B.jpg,gex,0,silence,123
186,Shape3B.jpg,beb,0,silence,123
186,Shape10B.jpg,dod,0,silence,123
186,Shape1B.jpg,bix,0,silence,123
186,Shape9B.jpg,sut,0,silence,123
186,Shape11B.jpg,pag,0,silence,123
186,Shape2B.jpg,fip,0,silence,123
186,Shape12B.jpg,pof,0,silence,123
186,Shape6B.jpg,gop,0,silence,123
186,Shape7B.jpg,saf,0,silence,123
139,Shape3B.jpg,beb,0,gof,125
139,Shape8B.jpg,dep,0,pof,125
139,Shape2B.jpg,fip,0,bim,125
139,Shape1B.jpg,bix,0,dus,125
139,Shape6B.jpg,gop,0,flix,125
139,Shape4B.jpg,fum,0,bex,125
139,Shape9B.jpg,sut,0,sof,125
139,Shape12B.jpg,pof,0,sus,125
139,Shape10B.jpg,dod,0,dob,125
139,Shape7B.jpg,saf,0,af,125
139,Shape11B.jpg,pag,1,pag,125
139,Shape5B.jpg,gex,0,dex,125
59,Shape5B.jpg,gex,0,silence,128
59,Shape3B.jpg,beb,0,silence,128
59,Shape11B.jpg,pag,0,silence,128
59,Shape8B.jpg,dep,0,silence,128
59,Shape7B.jpg,saf,0,pof,128
59,Shape2B.jpg,fip,0,silence,128
59,Shape4B.jpg,fum,0,silence,128
59,Shape12B.jpg,pof,0,silence,128
59,Shape6B.jpg,gop,0,fip,128
59,Shape10B.jpg,dod,1,dod,128
59,Shape9B.jpg,sut,0,silence,128
59,Shape1B.jpg,bix,0,silence,128
77,Shape5B.jpg,gex,1,gex,114
77,Shape3B.jpg,beb,0,silence,114
77,Shape11B.jpg,pag,0,silence,114
77,Shape8B.jpg,dep,0,silence,114
77,Shape7B.jpg,saf,1,saf,114
77,Shape2B.jpg,fip,0,pag,114
77,Shape4B.jpg,fum,1,fum,114
77,Shape12B.jpg,pof,0,silence,114
77,Shape6B.jpg,gop,0,fip,114
77,Shape10B.jpg,dod,1,dod,114
77,Shape9B.jpg,sut,1,sut,114
77,Shape1B.jpg,bix,0,pag,114
169,Shape4B.jpg,fum,1,fum,104
169,Shape8B.jpg,dep,0,silence,104
169,Shape5B.jpg,gex,0,fum,104
169,Shape3B.jpg,beb,0,silence,104
169,Shape10B.jpg,dod,1,dod,104
169,Shape1B.jpg,bix,1,bix,104
169,Shape9B.jpg,sut,1,sut,104
169,Shape11B.jpg,pag,1,pag,104
169,Shape2B.jpg,fip,0,sut,104
169,Shape12B.jpg,pof,1,pof,104
169,Shape6B.jpg,gop,0,silence,104
169,Shape7B.jpg,saf,0,silence,104
99,Shape4B.jpg,fum,1,fum,143
99,Shape8B.jpg,dep,1,dop,143
99,Shape5B.jpg,gex,0,bip,143
99,Shape3B.jpg,beb,0,dop,143
99,Shape10B.jpg,dod,0,silence,143
99,Shape1B.jpg,bix,0,silence,143
99,Shape9B.jpg,sut,0,silence,143
99,Shape11B.jpg,pag,0,dod,143
99,Shape2B.jpg,fip,1,fip,143
99,Shape12B.jpg,pof,0,pag,143
99,Shape6B.jpg,gop,0,silence,143
99,Shape7B.jpg,saf,0,silence,143
45,Shape4B.jpg,fum,1,fum,109
45,Shape8B.jpg,dep,1,dep,109
45,Shape5B.jpg,gex,1,gex,109
45,Shape3B.jpg,beb,0,gep,109
45,Shape10B.jpg,dod,1,dod,109
45,Shape1B.jpg,bix,1,bix,109
45,Shape9B.jpg,sut,1,sut,109
45,Shape11B.jpg,pag,0,saf,109
45,Shape2B.jpg,fip,0,sex,109
45,Shape12B.jpg,pof,1,pof,109
45,Shape6B.jpg,gop,0,silence,109
45,Shape7B.jpg,saf,1,saf,109
137,Shape4B.jpg,fum,0,silence,108
137,Shape8B.jpg,dep,0,silence,108
137,Shape5B.jpg,gex,1,gex,108
137,Shape3B.jpg,beb,0,pag,108
137,Shape10B.jpg,dod,0,dong,108
137,Shape1B.jpg,bix,0,dox,108
137,Shape9B.jpg,sut,0,silence,108
137,Shape11B.jpg,pag,1,pag,108
137,Shape2B.jpg,fip,1,fip,108
137,Shape12B.jpg,pof,0,buk,108
137,Shape6B.jpg,gop,1,gop,108
137,Shape7B.jpg,saf,1,saf,108
102,Shape4B.jpg,fum,0,beb,134
102,Shape8B.jpg,dep,1,dep,134
102,Shape5B.jpg,gex,1,gex,134
102,Shape3B.jpg,beb,1,beb,134
102,Shape10B.jpg,dod,0,bix,134
102,Shape1B.jpg,bix,0,gex,134
102,Shape9B.jpg,sut,0,pof,134
102,Shape11B.jpg,pag,0,paf,134
102,Shape2B.jpg,fip,0,beb,134
102,Shape12B.jpg,pof,0,gef,134
102,Shape6B.jpg,gop,1,gop,134
102,Shape7B.jpg,saf,0,gop,134
134,Shape4B.jpg,fum,0,silence,115
