id_no,Trial.Number,accuracy,response,version
7,1,0,silence,a
7,2,0,lie,a
7,3,0,deps,a
7,4,1,fum,a
7,5,0,silence,a
7,6,0,silence,a
7,7,0,silence,a
7,8,1,dep,a
7,9,0,silence,a
7,10,0,silence,a
7,11,0,silence,a
7,12,0,silence,a
9,1,1,sut,b
9,2,0,silence,b
9,3,0,silence,b
9,4,0,silence,b
9,5,1,pof,b
9,6,0,silence,b
9,7,0,bex,b
9,8,0,silence,b
9,9,0,silence,b
9,10,0,silence,b
9,11,0,silence,b
9,12,0,silence,b
15,1,0,silence,b
15,2,0,silence,b
15,3,0,silence,b
15,4,0,silence,b
15,5,0,silence,b
15,6,0,silence,b
15,7,0,silence,b
15,8,0,silence,b
15,9,0,silence,b
15,10,0,silence,b
15,11,0,silence,b
15,12,1,saf,b
17,1,0,silence,c
17,2,0,silence,c
17,3,0,silence,c
17,4,0,silence,c
17,5,0,pof,c
17,6,0,silence,c
17,7,0,silence,c
17,8,1,saf,c
17,9,0,silence,c
17,10,0,silence,c
17,11,0,silence,c
17,12,0,silence,c
22,1,0,bix,a
22,2,0,silence,a
22,3,0,silence,a
22,4,0,fum,a
22,5,0,silence,a
22,6,0,pof,a
22,7,0,sut,a
22,8,0,silence,a
22,9,0,bots,a
22,10,0,silence,a
22,11,0,silence,a
22,12,0,pex,a
28,1,0,silence,a
28,2,0,silence,a
28,3,0,silence,a
28,4,1,fum,a
28,5,1,gex,a
28,6,0,silence,a
28,7,0,silence,a
28,8,0,silence,a
28,9,0,silence,a
28,10,1,dod,a
28,11,0,silence,a
28,12,1,pag,a
31,1,0,silence,b
31,2,0,silence,b
31,3,0,gob,b
31,4,0,silence,b
31,5,0,yep,b
31,6,0,silence,b
31,7,0,silence,b
31,8,0,silence,b
31,9,0,beb,b
31,10,0,silence,b
31,11,0,silence,b
31,12,1,silence,b
40,1,1,sut,b
40,2,0,silence,b
40,3,0,silence,b
40,4,1,dod,b
40,5,0,silence,b
40,6,1,pag,b
40,7,1,bix,b
40,8,0,silence,b
40,9,0,silence,b
40,10,0,silence,b
40,11,1,gex,b
40,12,0,silence,b
43,1,0,silence,b
43,2,0,silence,b
43,3,0,silence,b
43,4,0,silence,b
43,5,0,silence,b
43,6,0,silence,b
43,7,0,silence,b
43,8,0,bel,b
43,9,0,fib,b
43,10,0,silence,b
43,11,0,silence,b
43,12,0,stif,b
45,1,0,silence,c
45,2,1,pof,c
45,3,1,sut,c
45,4,0,silence,c
45,5,1,pag,c
45,6,1,silence,c
45,7,0,silence,c
45,8,1,saf,c
45,9,0,silence,c
45,10,1,for,c
45,11,0,silence,c
45,12,1,bix,c
52,1,0,silence,a
52,2,0,silence,a
52,3,0,silence,a
52,4,1,fum,a
52,5,0,fip,a
52,6,0,silence,a
52,7,0,silence,a
52,8,0,silence,a
52,9,0,silence,a
52,10,0,silence,a
52,11,0,fip,a
52,12,0,silence,a
54,1,0,puf,b
54,2,0,silence,b
54,3,0,silence,b
54,4,0,silence,b
54,5,0,silence,b
54,6,0,silence,b
54,7,0,silence,b
54,8,0,silence,b
54,9,0,silence,b
54,10,0,silence,b
54,11,0,silence,b
54,12,1,saf,b
55,1,0,silence,a
55,2,0,silence,a
55,3,0,silence,a
55,4,0,silence,a
55,5,0,silence,a
55,6,1,saf,a
55,7,0,silence,a
55,8,0,silence,a
55,9,0,silence,a
55,10,0,silence,a
55,11,0,silence,a
55,12,0,silence,a
59,1,0,silence,b
59,2,0,silence,b
59,3,0,silence,b
59,4,0,silence,b
59,5,0,silence,b
59,6,0,silence,b
59,7,0,pof,b
59,8,0,pish,b
59,9,0,gaf,b
59,10,0,silence,b
59,11,0,why,b
59,12,1,saf,b
69,1,0,silence,b
69,2,0,silence,b
69,3,0,silence,b
69,4,0,silence,b
69,5,0,silence,b
69,6,0,silence,b
69,7,0,dot,b
69,8,0,silence,b
69,9,0,silence,b
69,10,1,fum,b
69,11,0,silence,b
69,12,1,saf,b
71,1,1,sut,b
71,2,0,silence,b
71,3,0,volv,b
71,4,0,pag,b
71,5,0,silence,b
71,6,0,silence,b
71,7,0,silence,b
71,8,0,silence,b
71,9,0,silence,b
71,10,0,silence,b
71,11,1,gex,b
71,12,1,saf,b
77,1,1,sut,b
77,2,0,silence,b
77,3,0,silence,b
77,4,0,dap,b
77,5,0,saf,b
77,6,0,silence,b
77,7,0,gag,b
77,8,0,silence,b
77,9,0,silence,b
77,10,1,fum,b
77,11,1,gex,b
77,12,1,saf,b
99,1,NA,NA,c
99,2,NA,NA,c
99,3,NA,NA,c
99,4,NA,NA,c
99,5,NA,NA,c
99,6,NA,NA,c
99,7,NA,NA,c
99,8,NA,NA,c
99,9,NA,NA,c
99,10,NA,NA,c
99,11,NA,NA,c
99,12,NA,NA,c
102,1,0,gep,c
102,2,0,yep,c
102,3,0,silence,c
102,4,0,bop,c
102,5,0,bop,c
102,6,1,gop,c
102,7,0,gep,c
102,8,0,bin,c
102,9,0,not,c
102,10,0,ip,c
102,11,0,dop,c
102,12,0,gob,c
103,1,0,fum,c
103,2,0,saf,c
103,3,0,fut,c
103,4,0,bek,c
103,5,0,fib,c
103,6,0,gob,c
103,7,0,gob,c
103,8,1,saf,c
103,9,0,tad,c
103,10,0,fom,c
103,11,0,gob,c
103,12,0,fud,c
105,1,0,silence,a
105,2,1,fip,a
105,3,0,silence,a
105,4,0,thum,a
105,5,0,gix,a
105,6,0,pof,a
105,7,0,silence,a
105,8,0,silence,a
105,9,0,silence,a
105,10,0,silence,a
105,11,0,silence,a
105,12,0,dof,a
109,1,0,sut,b
109,2,0,silence,b
109,3,0,silence,b
109,4,0,vip,b
109,5,0,silence,b
109,6,0,silence,b
109,7,0,silence,b
109,8,0,silence,b
109,9,0,silence,b
109,10,0,silence,b
109,11,0,bix,b
109,12,0,da,b
111,1,0,silence,b
111,2,0,silence,b
111,3,0,silence,b
111,4,0,dot,b
111,5,0,silence,b
111,6,0,silence,b
111,7,0,silence,b
111,8,0,silence,b
111,9,0,silence,b
111,10,1,fum,b
111,11,1,gex,b
111,12,0,sut,b
121,1,1,sut,b
121,2,1,dep,b
121,3,1,gop,b
121,4,0,silence,b
121,5,0,pox,b
121,6,0,silence,b
121,7,1,bix,b
121,8,0,silence,b
121,9,0,bep,b
121,10,1,fum,b
121,11,1,gex,b
121,12,1,saf,b
122,1,1,sut,b
122,2,0,silence,b
122,3,0,silence,b
122,4,0,silence,b
122,5,0,silence,b
122,6,0,pov,b
122,7,1,bix,b
122,8,0,silence,b
122,9,0,silence,b
122,10,0,silence,b
122,11,0,silence,b
122,12,0,pov,b
126,1,0,tut,b
126,2,0,gof,b
126,3,0,bed,b
126,4,0,silence,b
126,5,1,pof,b
126,6,0,kas,b
126,7,0,silence,b
126,8,0,silence,b
126,9,0,silence,b
126,10,1,fum,b
126,11,0,silence,b
126,12,0,silence,b
132,1,0,silence,a
132,2,0,fum,a
132,3,0,silence,a
132,4,0,sux,a
132,5,0,silence,a
132,6,0,silence,a
132,7,0,silence,a
132,8,0,silence,a
132,9,0,silence,a
132,10,0,vip,a
132,11,0,silence,a
132,12,0,silence,a
134,1,0,do,c
134,2,0,silence,c
134,3,0,silence,c
134,4,0,silence,c
134,5,0,silence,c
134,6,0,silence,c
134,7,0,fo,c
134,8,0,silence,c
134,9,0,silence,c
134,10,1,fum,c
134,11,0,do,c
134,12,0,silence,c
137,1,0,silence,c
137,2,0,silence,c
137,3,0,silence,c
137,4,0,silence,c
137,5,0,silence,c
137,6,0,silence,c
137,7,0,fing,c
137,8,1,saf,c
137,9,0,jes,c
137,10,0,silence,c
137,11,0,silence,c
137,12,1,bix,c
139,1,NA,NA,?
139,2,NA,NA,?
139,3,NA,NA,?
139,4,NA,NA,?
139,5,NA,NA,?
139,6,NA,NA,?
139,7,NA,NA,?
139,8,NA,NA,?
139,9,NA,NA,?
139,10,NA,NA,?
139,11,NA,NA,?
139,12,NA,NA,?
144,1,0,bex,a
144,2,0,bop,a
144,3,0,puf,a
144,4,0,fup,a
144,5,1,gex,a
144,6,0,sup,a
144,7,1,sut,a
144,8,0,rag,a
144,9,0,fut,a
144,10,0,peg,a
144,11,0,fap,a
144,12,0,pie,a
145,1,0,silence,b
145,2,0,silence,b
145,3,0,silence,b
145,4,0,silence,b
145,5,1,pof,b
145,6,0,silence,b
145,7,0,silence,b
145,8,0,silence,b
145,9,0,silence,b
145,10,0,silence,b
145,11,0,silence,b
145,12,0,silence,b
151,1,1,sut,b
151,2,0,path,b
151,3,0,gof,b
151,4,1,dod,b
151,5,0,gof,b
151,6,0,silence,b
151,7,0,silence,b
151,8,0,silence,b
151,9,0,silence,b
151,10,1,fum,b
151,11,0,silence,b
151,12,0,silence,b
152,1,0,fix,c
152,2,0,sut,c
152,3,0,silence,c
152,4,0,silence,c
152,5,0,fog,c
152,6,1,pag,c
152,7,0,silence,c
152,8,0,silence,c
152,9,0,silence,c
152,10,0,fon,c
152,11,0,fok,c
152,12,0,silence,c
158,1,0,fum,c
158,2,0,silence,c
158,3,0,silence,c
158,4,0,silence,c
158,5,0,dip,c
158,6,0,silence,c
158,7,0,silence,c
158,8,0,silence,c
158,9,0,silence,c
158,10,1,fum,c
158,11,0,silence,c
158,12,0,silence,c
159,1,1,sut,b
159,2,0,silence,b
159,3,0,silence,b
159,4,0,pad,b
159,5,0,silence,b
159,6,0,silence,b
159,7,1,bex,b
159,8,0,gex,b
159,9,0,silence,b
159,10,0,silence,b
159,11,1,gex,b
159,12,0,silence,b
165,1,0,silence,a
165,2,0,silence,a
165,3,0,sut,a
165,4,0,silence,a
