"id_no","WRIT_acc_total","WRIT_stdz"
3,42,127
4,32,108
7,20,89
8,31,107
9,27,100
17,29,107
22,29,97
27,31,111
28,32,113
29,19,79
30,36,120
31,8,61
34,28,94
41,26,98
43,31,110
45,30,109
52,31,101
59,26,92
63,29,101
69,18,84
70,29,99
71,33,103
77,32,112
79,35,112
89,26,99
94,32,101
99,31,99
100,29,94
102,33,106
103,34,119
105,25,92
107,25,87
108,34,108
109,19,75
111,37,114
115,37,119
121,27,94
122,35,112
126,25,100
132,34,117
133,35,108
134,29,105
137,25,98
139,36,116
143,23,91
144,31,106
151,36,113
152,19,83
158,18,86
159,23,80
166,31,104
167,33,108
169,33,119
171,29,110
183,24,96
186,29,101
189,29,106
191,29,107
196,26,99
199,31,106
202,30,122
203,22,91
